HALLMARK_Apoptosis,HALLMARK_Cholesterol_Homeostasis,HALLMARK_IL2_STAT5_Signalling,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_PI3K_AKT_MTOR_Signalling,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_GLYCOLYSIS,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2
HMGB2,,IL13,,SFN,HIBCH,GPC1,TRIM21,IDH2,,,IL18R1,IL1B,MRPS18B,
HMOX1,,IL18R1,,SLA,HMGCL,GPC3,TRIM25,IDH3A,,,IL18RAP,IL23A,MYC,
HSPB1,,IL1R2,,SLC2A1,HMGCS1,GPC4,TRIM26,IDH3B,,,IL1A,IL6,NAP1L1,
IER3,,IL1RL1,,SMAD2,HMGCS2,GPR87,TRIM5,IDH3G,,,IL1B,IL6ST,NCBP1,
IFITM3,,IL2RA,,SQSTM1,HPGD,GUSB,TXNIP,IMMT,,,IL1R1,IL7R,NCBP2,
IFNB1,,IL2RB,,STAT2,HSD17B10,GYS1,UBA7,ISCA1,,,IL2RB,INHBA,NDUFAB1,
IFNGR1,,IL3RA,,TBK1,HSD17B11,GYS2,UBE2L6,ISCU,,,IL4R,IRF1,NHP2,
IGF2R,,IL4R,,THEM4,HSD17B4,HAX1,USP18,LDHA,,,IL6,IRS2,NME1,
IGFBP6,,IRF4,,TIAM1,HSD17B7,HDLBP,WARS1,LDHB,,,IL7R,JAG1,NOLC1,
IL18,,IRF6,,TNFRSF1A,HSDL2,HK2,,LRPPRC,,,INHBA,JUN,NOP16,
IL1A,,IRF8,,TRAF2,HSP90AA1,HMMR,,MAOB,,,IRAK2,JUNB,NOP56,
IL1B,,ITGA6,,TRIB3,HSPH1,HOMER1,,MDH1,,,IRF1,KDM6B,NPM1,
IL6,,ITGAE,,TSC2,IDH1,HS2ST1,,MDH2,,,IRF7,KLF10,ODC1,
IRF1,,ITGAV,,UBE2D3,IDH3B,HS6ST2,,MFN2,,,ITGA5,KLF2,ORC2,
ISG20,,ITIH5,,UBE2N,IDH3G,HSPA5,,MGST3,,,ITGB3,KLF4,PA2G4,
JUN,,KLF6,,VAV3,IDI1,IDH1,,MPC1,,,ITGB8,KLF6,PABPC1,
KRT18,,LCLAT1,,YWHAB,IL4I1,IDUA,,MRPL11,,,KCNA3,KLF9,PABPC4,
LEF1,,LIF,,,INMT,IER3,,MRPL15,,,KCNJ2,KYNU,PCBP1,
LGALS3,,LRIG1,,,KMT5A,IGFBP3,,MRPL34,,,KCNMB2,LAMB3,PCNA,
LMNA,,LRRC8C,,,LDHA,IL13RA1,,MRPL35,,,KIF1B,LDLR,PGK1,
LUM,,LTB,,,LGALS1,IRS2,,MRPS11,,,KLF6,LIF,PHB,
MADD,,MAFF,,,LTC4S,ISG20,,MRPS12,,,LAMP3,LITAF,PHB2,
MCL1,,MAP3K8,,,MAOA,KDELR3,,MRPS15,,,LCK,MAFF,POLD2,
MGMT,,MAP6,,,MCEE,KIF20A,,MRPS22,,,LCP2,MAP2K3,POLE3,
MMP2,,MAPKAPK2,,,MDH1,KIF2A,,MRPS30,,,LDLR,MAP3K8,PPIA,
NEDD9,,MUC1,,,MDH2,LCT,,MTRF1,,,LIF,MARCKS,PPM1G,
NEFH,,MXD1,,,ME1,LDHA,,MTRR,,,LPAR1,MCL1,PRDX3,
PAK1,,MYC,,,METAP1,LDHC,,MTX2,,,LTA,MSC,PRDX4,
PDCD4,,MYO1C,,,MGLL,LHPP,,NDUFA1,,,LY6E,MXD1,PRPF31,
PDGFRB,,MYO1E,,,MIF,LHX9,,NDUFA2,,,LYN,MYC,PRPS2,
PEA15,,NCOA3,,,MIX23,MDH1,,NDUFA3,,,MARCO,NAMPT,PSMA1,
PLAT,,NCS1,,,MLYCD,MDH2,,NDUFA4,,,MEFV,NFAT5,PSMA2,
PLCB2,,NDRG1,,,NBN,ME1,,NDUFA5,,,MEP1A,NFE2L2,PSMA4,
PLPPR4,,NFIL3,,,NCAPH2,ME2,,NDUFA6,,,MET,NFIL3,PSMA6,
PMAIP1,,NFKBIZ,,,NSDHL,MED24,,NDUFA7,,,MMP14,NFKB1,PSMA7,
